magnitude,country,lon,lat,date
6.8,Fiji,-16.951,-178.0223,2018-08-19T06:31:54.939Z
6.3,Indonesia,-8.3246,116.5765,2018-08-19T14:02:24.698Z
6.3,Fiji,-18.3992,-177.9994,2018-08-19T05:42:59.819Z
8.2,Fiji,-18.1777,-178.1109,2018-08-19T13:47:25.747Z
6.1,Costa Rica,8.7694,-83.1531,2018-08-19T11:06:09.775Z
6.5,Indonesia,-7.4139,119.819,2018-08-19T05:39:20.851Z
6.3,Japan,23.4356,143.3143,2018-08-17T18:04:40.359Z
6.6,Alaska,51.435,-178.0543,2018-08-17T17:10:32.652Z
4.4,CA,33.4771667,-116.8033333,2018-08-19T08:51:27.816Z
6.3,Alaska,69.5619,-145.2998,2018-08-18T16:08:29.916Z
5.9,Indonesia,-8.3939,116.2078,2018-08-19T05:14:38.008Z
6.9,Indonesia,-8.2597,116.4363,2018-08-19T08:36:41.890Z
3.7,CA,38.0828333,-122.4096667,2018-08-19T03:26:55.017Z
6.4,Indonesia,-8.2395,116.508,2018-08-10T21:45:29.529Z
